,연도,시도,행정구역,코드,학제,date.x,성별,학생수,인구수_2년전_4세,인구수_1년전_5세,4세대비5세변동치,5세대비1학년변동치,4세대비1학년변동치,4세대비5세변동률,5세대비1학년변동률,4세대비1학년변동률
3459,2018,경남,합천군,4889000000,초등학교,2018-04-01,남자,109,117,116,-1,-7,-8,-0.008547009,-0.060344828,-0.068376068
3460,2018,제주,제주시,5011000000,초등학교,2018-04-01,전체,5182,5085,5204,119,-22,97,0.023402163,-0.004227517,0.019075713
3461,2018,제주,제주시,5011000000,초등학교,2018-04-01,여자,2515,2449,2513,64,2,66,0.026133116,0.000795862,0.026949775
3462,2018,제주,제주시,5011000000,초등학교,2018-04-01,남자,2667,2636,2691,55,-24,31,0.020864947,-0.008918618,0.011760243
3463,2018,제주,서귀포시,5013000000,초등학교,2018-04-01,전체,1618,1510,1605,95,13,108,0.062913907,0.008099688,0.071523179
3464,2018,제주,서귀포시,5013000000,초등학교,2018-04-01,여자,736,712,750,38,-14,24,0.053370787,-0.018666667,0.033707865
3465,2018,제주,서귀포시,5013000000,초등학교,2018-04-01,남자,882,798,855,57,27,84,0.071428571,0.031578947,0.105263158
3466,2019,서울,종로구,1111000000,초등학교,2019-04-01,전체,946,1014,1019,5,-73,-68,0.004930966,-0.071638862,-0.067061144
3467,2019,서울,종로구,1111000000,초등학교,2019-04-01,여자,468,490,497,7,-29,-22,0.014285714,-0.058350101,-0.044897959
3468,2019,서울,종로구,1111000000,초등학교,2019-04-01,남자,478,524,522,-2,-44,-46,-0.003816794,-0.084291188,-0.08778626
3469,2019,서울,중구,1114000000,초등학교,2019-04-01,전체,919,795,795,0,124,124,0,0.155974843,0.155974843
3470,2019,서울,중구,1114000000,초등학교,2019-04-01,여자,460,397,399,2,61,63,0.005037783,0.152882206,0.158690176
3471,2019,서울,중구,1114000000,초등학교,2019-04-01,남자,459,398,396,-2,63,61,-0.005025126,0.159090909,0.153266332
3472,2019,서울,용산구,1117000000,초등학교,2019-04-01,전체,1245,1735,1695,-40,-450,-490,-0.023054755,-0.265486726,-0.282420749
3473,2019,서울,용산구,1117000000,초등학교,2019-04-01,여자,603,829,819,-10,-216,-226,-0.012062726,-0.263736264,-0.272617612
3474,2019,서울,용산구,1117000000,초등학교,2019-04-01,남자,642,906,876,-30,-234,-264,-0.033112583,-0.267123288,-0.291390728
3475,2019,서울,성동구,1120000000,초등학교,2019-04-01,전체,2102,2467,2419,-48,-317,-365,-0.01945683,-0.131045887,-0.147952979
3476,2019,서울,성동구,1120000000,초등학교,2019-04-01,여자,1060,1196,1171,-25,-111,-136,-0.02090301,-0.094790777,-0.113712375
3477,2019,서울,성동구,1120000000,초등학교,2019-04-01,남자,1042,1271,1248,-23,-206,-229,-0.018095987,-0.165064103,-0.180173092
3478,2019,서울,광진구,1121500000,초등학교,2019-04-01,전체,2599,2564,2511,-53,88,35,-0.020670827,0.035045798,0.013650546
3479,2019,서울,광진구,1121500000,초등학교,2019-04-01,여자,1249,1266,1258,-8,-9,-17,-0.006319115,-0.007154213,-0.01342812
3480,2019,서울,광진구,1121500000,초등학교,2019-04-01,남자,1350,1298,1253,-45,97,52,-0.034668721,0.077414206,0.040061633
3481,2019,서울,동대문구,1123000000,초등학교,2019-04-01,전체,2386,2610,2509,-101,-123,-224,-0.038697318,-0.049023515,-0.085823755
3482,2019,서울,동대문구,1123000000,초등학교,2019-04-01,여자,1159,1260,1203,-57,-44,-101,-0.045238095,-0.036575229,-0.08015873
3483,2019,서울,동대문구,1123000000,초등학교,2019-04-01,남자,1227,1350,1306,-44,-79,-123,-0.032592593,-0.060490046,-0.091111111
3484,2019,서울,중랑구,1126000000,초등학교,2019-04-01,전체,2717,3050,2917,-133,-200,-333,-0.043606557,-0.068563593,-0.109180328
3485,2019,서울,중랑구,1126000000,초등학교,2019-04-01,여자,1301,1509,1445,-64,-144,-208,-0.042412194,-0.099653979,-0.137839629
3486,2019,서울,중랑구,1126000000,초등학교,2019-04-01,남자,1416,1541,1472,-69,-56,-125,-0.044776119,-0.038043478,-0.081116158
3487,2019,서울,성북구,1129000000,초등학교,2019-04-01,전체,3539,3621,3563,-58,-24,-82,-0.016017675,-0.006735897,-0.022645678
3488,2019,서울,성북구,1129000000,초등학교,2019-04-01,여자,1712,1797,1772,-25,-60,-85,-0.013912076,-0.033860045,-0.047301057
3489,2019,서울,성북구,1129000000,초등학교,2019-04-01,남자,1827,1824,1791,-33,36,3,-0.018092105,0.020100503,0.001644737
3490,2019,서울,강북구,1130500000,초등학교,2019-04-01,전체,1706,2251,2151,-100,-445,-545,-0.0444247,-0.206880521,-0.242114616
3491,2019,서울,강북구,1130500000,초등학교,2019-04-01,여자,814,1076,1010,-66,-196,-262,-0.06133829,-0.194059406,-0.243494424
3492,2019,서울,강북구,1130500000,초등학교,2019-04-01,남자,892,1175,1141,-34,-249,-283,-0.02893617,-0.218229623,-0.240851064
3493,2019,서울,도봉구,1132000000,초등학교,2019-04-01,전체,2601,2545,2479,-66,122,56,-0.025933202,0.049213392,0.022003929
3494,2019,서울,도봉구,1132000000,초등학교,2019-04-01,여자,1253,1228,1182,-46,71,25,-0.037459283,0.060067682,0.020358306
3495,2019,서울,도봉구,1132000000,초등학교,2019-04-01,남자,1348,1317,1297,-20,51,31,-0.015186029,0.039321511,0.023538345
3496,2019,서울,노원구,1135000000,초등학교,2019-04-01,전체,4318,4368,4213,-155,105,-50,-0.035485348,0.024922858,-0.011446886
3497,2019,서울,노원구,1135000000,초등학교,2019-04-01,여자,2101,2100,2011,-89,90,1,-0.042380952,0.044753854,0.00047619
3498,2019,서울,노원구,1135000000,초등학교,2019-04-01,남자,2217,2268,2202,-66,15,-51,-0.029100529,0.006811989,-0.022486772
3499,2019,서울,은평구,1138000000,초등학교,2019-04-01,전체,3686,3863,3734,-129,-48,-177,-0.033393735,-0.012854847,-0.045819311
3500,2019,서울,은평구,1138000000,초등학교,2019-04-01,여자,1756,1874,1802,-72,-46,-118,-0.038420491,-0.025527192,-0.062966916
3501,2019,서울,은평구,1138000000,초등학교,2019-04-01,남자,1930,1989,1932,-57,-2,-59,-0.028657617,-0.001035197,-0.029663147
3502,2019,서울,서대문구,1141000000,초등학교,2019-04-01,전체,2243,2335,2233,-102,10,-92,-0.043683084,0.00447828,-0.039400428
3503,2019,서울,서대문구,1141000000,초등학교,2019-04-01,여자,1099,1144,1108,-36,-9,-45,-0.031468531,-0.008122744,-0.039335664
3504,2019,서울,서대문구,1141000000,초등학교,2019-04-01,남자,1144,1191,1125,-66,19,-47,-0.055415617,0.016888889,-0.039462636
3505,2019,서울,마포구,1144000000,초등학교,2019-04-01,전체,2572,3023,2944,-79,-372,-451,-0.02613298,-0.126358696,-0.149189547
3506,2019,서울,마포구,1144000000,초등학교,2019-04-01,여자,1260,1515,1469,-46,-209,-255,-0.030363036,-0.142273656,-0.168316832
3507,2019,서울,마포구,1144000000,초등학교,2019-04-01,남자,1312,1508,1475,-33,-163,-196,-0.021883289,-0.110508475,-0.129973475
3508,2019,서울,양천구,1147000000,초등학교,2019-04-01,전체,3731,3805,3876,71,-145,-74,0.018659658,-0.037409701,-0.019448095
3509,2019,서울,양천구,1147000000,초등학교,2019-04-01,여자,1832,1869,1924,55,-92,-37,0.029427501,-0.047817048,-0.019796683
3510,2019,서울,양천구,1147000000,초등학교,2019-04-01,남자,1899,1936,1952,16,-53,-37,0.008264463,-0.027151639,-0.01911157
3511,2019,서울,강서구,1150000000,초등학교,2019-04-01,전체,4946,5320,5205,-115,-259,-374,-0.021616541,-0.049759846,-0.070300752
3512,2019,서울,강서구,1150000000,초등학교,2019-04-01,여자,2390,2643,2576,-67,-186,-253,-0.025349981,-0.072204969,-0.095724555
3513,2019,서울,강서구,1150000000,초등학교,2019-04-01,남자,2556,2677,2629,-48,-73,-121,-0.017930519,-0.027767212,-0.045199851
3514,2019,서울,구로구,1153000000,초등학교,2019-04-01,전체,3305,3753,3493,-260,-188,-448,-0.069277911,-0.05382193,-0.11937117
3515,2019,서울,구로구,1153000000,초등학교,2019-04-01,여자,1690,1895,1767,-128,-77,-205,-0.067546174,-0.043576684,-0.10817942
3516,2019,서울,구로구,1153000000,초등학교,2019-04-01,남자,1615,1858,1726,-132,-111,-243,-0.071044133,-0.064310545,-0.130785791
3517,2019,서울,금천구,1154500000,초등학교,2019-04-01,전체,1656,1751,1633,-118,23,-95,-0.067390063,0.014084507,-0.054254712
3518,2019,서울,금천구,1154500000,초등학교,2019-04-01,여자,812,865,811,-54,1,-53,-0.062427746,0.001233046,-0.061271676
3519,2019,서울,금천구,1154500000,초등학교,2019-04-01,남자,844,886,822,-64,22,-42,-0.072234763,0.02676399,-0.047404063
3520,2019,서울,영등포구,1156000000,초등학교,2019-04-01,전체,2564,2889,2816,-73,-252,-325,-0.025268259,-0.089488636,-0.112495673
3521,2019,서울,영등포구,1156000000,초등학교,2019-04-01,여자,1279,1433,1397,-36,-118,-154,-0.025122121,-0.084466714,-0.107466853
3522,2019,서울,영등포구,1156000000,초등학교,2019-04-01,남자,1285,1456,1419,-37,-134,-171,-0.025412088,-0.094432699,-0.117445055
3523,2019,서울,동작구,1159000000,초등학교,2019-04-01,전체,2805,3123,3020,-103,-215,-318,-0.032981108,-0.071192053,-0.101825168
