,시도,행정구역,평균,최대,최소,표준편차,표준편차 보정값,최대 - 최소,평균 * 표준편차 보정값,,
63,경남,창원시,-51.54754484,-48.9199103,-53.4679192,1.258713273,0,4.5480089,0,,
64,경남,통영시,-3.7748406,0.8802817,-9.6446701,2.543957672,0.03180199,10.5249518,-0.120047443,,
65,경남,하동군,-13.15637925,3.968254,-38.7931034,9.372670004,0.200771131,42.7613574,-2.641421142,,
66,경남,함안군,-1.683351556,13.5646688,-17.2638436,6.952743584,0.140892655,30.8285124,-0.23717187,,
67,경남,함양군,-5.357503752,10.8527132,-15.9090909,6.526817861,0.130353581,26.7618041,-0.6983698,,
68,경남,합천군,-17.32824616,-5.2173913,-36,8.231640718,0.172537589,30.7826087,-2.989773809,,
69,경북,경산시,-5.941864115,0.7305195,-13.5882832,2.975256995,0.042474028,14.3188027,-0.252374902,,
70,경북,경주시,-1.833499304,4.2826552,-9.4669118,3.376575032,0.052404211,13.749567,-0.096083084,,
71,경북,고령군,-12.81135226,0,-30.9090909,10.03917428,0.217263062,30.9090909,-2.783433624,,
72,경북,구미시,-1.996506307,5.394016,-8.7433762,3.469317144,0.054699015,14.1373922,-0.109206928,,
73,경북,군위군,-14.50690655,18.1818182,-46.3414634,14.71145635,0.332873656,64.5232816,-4.828967021,,
74,경북,김천시,-3.907489593,7.0500928,-13.0136986,4.863738248,0.089202465,20.0637914,-0.348557704,,
75,경북,문경시,-4.586397952,4.587156,-15.037594,5.755723984,0.111273693,19.62475,-0.510345436,,
76,경북,봉화군,-21.25982759,-4.3478261,-39.5348837,7.900108966,0.164334192,35.1870576,-3.493716593,,
77,경북,상주시,-1.743627011,17.3501577,-11.4485981,5.675203225,0.109281293,28.7987558,-0.190545814,,
78,경북,성주군,-16.81988061,5.5555556,-39.1304348,10.63583883,0.232026885,44.6859904,-3.902664502,,
79,경북,안동시,0.36020393,12.2749591,-6.2038405,4.460141195,0.07921589,18.4787996,0.028533875,,
80,경북,영덕군,-9.590962215,11.5789474,-22.5225225,9.088798675,0.19374704,34.1014699,-1.858220543,,
81,경북,영양군,-8.564327378,30.7692308,-31.7073171,15.06911238,0.34172347,62.4765479,-2.926631668,,
82,경북,영주시,1.089318681,11.2903226,-13.7305699,5.214081844,0.09787134,25.0208925,0.10661308,,
83,경북,영천시,-9.492334904,1.8808777,-23.7012987,6.15320022,0.121108814,25.5821764,-1.149605426,,
84,경북,예천군,-12.07841742,23.5294118,-31.6455696,14.08431178,0.317355638,55.1749814,-3.83315387,,
85,경북,울릉군,-8.535955078,28,-29.6296296,14.67093814,0.331871077,57.6296296,-2.832836601,,
86,경북,울진군,-10.38597468,0.9174312,-21.025641,5.986593668,0.116986315,21.9430722,-1.2150169,,
87,경북,의성군,-10.53580927,10,-29.0598291,9.720134684,0.209368771,39.0598291,-2.205869436,,
88,경북,청도군,-6.877129511,15.0684932,-30.3278689,10.28114962,0.223250482,45.3963621,-1.535322477,,
89,경북,청송군,-9.222818678,5.5555556,-28.5714286,8.660793892,0.183156522,34.1269842,-1.689219396,,
90,경북,칠곡군,-8.777220111,-1.1744966,-17.1107994,4.479759873,0.079701333,15.9363028,-0.699556145,,
91,경북,포항시,-1.853114581,1.2510425,-5.1482059,1.66399213,0.010028189,6.3992484,-0.018583384,,
92,광주,광산구,0.439408911,5.3461538,-4.1156841,2.902702619,0.040678748,9.4618379,0.017874604,,
93,광주,남구,13.65232664,23.2786885,6.143001,3.90654852,0.065517835,17.1356875,0.894470882,,
94,광주,동구,-12.20213154,10.6164384,-25.9259259,9.264966438,0.198106122,36.5423643,-2.417316961,,
95,광주,북구,-2.193581915,6.7713976,-14.7654094,5.347857477,0.101181475,21.536807,-0.221949853,,
96,광주,서구,-1.329958481,2.6278409,-6.9097889,2.75854251,0.037111661,9.5376298,-0.049356968,,
97,대구,남구,-16.18802646,-8.0200501,-26.3948498,5.657723276,0.10884877,18.3747997,-1.762046777,,
98,대구,달서구,1.384039341,7.0958303,-3.9505325,3.691611854,0.060199458,11.0463628,0.083318419,,
99,대구,달성군,1.376767933,24.288425,-9.375,11.51929737,0.253887116,33.663425,0.34954364,,
100,대구,동구,-5.161433389,4.109589,-11.5914787,3.917248576,0.065782596,15.7010677,-0.339532489,,
101,대구,북구,-7.7197719,-3.4334764,-11.7334621,2.208961323,0.023512866,8.2999857,-0.181513961,,
102,대구,서구,-14.51419605,-3.6363636,-27.1816881,5.80053164,0.11238241,23.5453245,-1.631140328,,
103,대구,수성구,5.792353885,11.9193154,-0.463231,3.489342603,0.055194523,12.3825464,0.319706211,,
104,대구,중구,34.98034332,63.7305699,12.5401929,11.97035782,0.265048122,51.190377,9.271474289,,
105,대전,대덕구,-7.992599233,-0.3996004,-14.8387097,3.605977074,0.058080518,14.4391093,-0.464214302,,
106,대전,동구,-10.68732066,-5.8697972,-15.6756757,2.702155303,0.03571642,9.8058785,-0.381712837,,
107,대전,서구,-2.743036967,3.8961039,-7.6706827,2.856425837,0.039533679,11.5667866,-0.108442342,,
108,대전,유성구,-0.406019407,11.4850427,-7.9115479,4.853455733,0.088948035,19.3965906,-0.036114629,,
109,대전,중구,-3.8674989,2.8492647,-11.0629067,3.953482019,0.066679154,13.9121714,-0.257881554,,
110,부산,강서구,18.0974282,47.9166667,-2.1008403,18.61214592,0.429392023,50.017507,7.770891313,,
111,부산,금정구,1.597291133,9.3951094,-5.7068742,4.471017258,0.079485007,15.1019836,0.126960696,,
112,부산,기장군,7.408592907,37.2488408,-8.1632653,14.5274615,0.328320901,45.4121061,2.432395901,,
113,부산,남구,-4.365670174,11.2462006,-15.1621385,7.068862233,0.143765886,26.4083391,-0.62763444,,
114,부산,동구,-14.27887256,1.8181818,-28.0898876,6.828807149,0.137825981,29.9080694,-1.96799962,,
115,부산,동래구,2.023311707,9.5334686,-6.1076605,4.226812597,0.073442425,15.6411291,0.148596918,,
116,부산,부산진구,-1.881695333,8.4327087,-10.4414856,4.300519404,0.075266221,18.8741943,-0.141628096,,
117,부산,북구,-5.535702989,3.9215686,-12.5743415,4.807317425,0.087806392,16.4959101,-0.486070109,,
118,부산,사상구,-17.65568693,-10.7223476,-25.7772021,3.808668688,0.063095904,15.0548545,-1.114001522,,
119,부산,사하구,-9.81326967,-4.3947571,-17.4389217,3.30921564,0.050737475,13.0441646,-0.497900528,,
