,prov,distinct,입학년도,총입학자,남자입학,여자입학,인구나이,인구연도,인구총합,인구남자,인구여자,(입학합계)/(인구총합*총합보정),(입학남자)/(인구남자*남자보정),(입학여자)/(인구여자*여자보정),,,
105,강원,원주시,2017,3285,1649,1636,5,2016,3260,1658,1602,1.032345619,1.016630781,1.048751615,,,
106,강원,원주시,2018,3224,1648,1576,5,2017,3329,1654,1675,0.992175693,1.018471375,0.966258343,,,
107,강원,원주시,2019,3303,1634,1669,5,2018,2914,1480,1434,1.161251723,1.128541313,1.195250793,,,
108,강원,원주시,2020,3008,1537,1471,5,2019,2926,1481,1445,1.053200012,1.060830345,1.045434146,,,
109,강원,인제군,2009,322,163,159,5,2008,337,176,161,0.978888702,0.946677515,1.014198826,,,
110,강원,인제군,2010,305,165,140,5,2009,315,162,153,0.991965644,1.04110865,0.939698341,,,
111,강원,인제군,2011,323,167,156,5,2010,304,166,138,1.088519677,1.02833711,1.160906832,,,
112,강원,인제군,2012,279,146,133,5,2011,306,154,152,0.93409301,0.969079174,0.898586538,,,
113,강원,인제군,2013,291,140,151,5,2012,328,173,155,0.908921739,0.827197204,1.000453952,,,
114,강원,인제군,2014,310,159,151,5,2013,289,144,145,1.098932953,1.128656423,1.069450777,,,
115,강원,인제군,2015,282,138,144,5,2014,282,148,134,1.024489107,0.953113226,1.103594555,,,
116,강원,인제군,2016,264,137,127,5,2015,326,175,151,0.829647621,0.800220446,0.863731242,,,
117,강원,인제군,2017,300,163,137,5,2016,279,158,121,1.101601191,1.054526852,1.162751884,,,
118,강원,인제군,2018,253,152,101,5,2017,312,155,157,0.83075559,1.002395285,0.660653251,,,
119,강원,인제군,2019,274,140,134,5,2018,259,129,130,1.083822453,1.109341987,1.058554691,,,
120,강원,인제군,2020,251,123,128,5,2019,233,124,109,1.103634189,1.01393602,1.20596673,,,
121,강원,정선군,2009,301,156,145,5,2008,258,130,128,1.195237292,1.226615283,1.163348643,,,
122,강원,정선군,2010,251,125,126,5,2009,267,140,127,0.963096502,0.912660181,1.018869776,,,
123,강원,정선군,2011,256,142,114,5,2010,271,136,135,0.967783068,1.067275552,0.867207326,,,
124,강원,정선군,2012,255,124,131,5,2011,235,111,124,1.11167967,1.141894107,1.084929369,,,
125,강원,정선군,2013,227,112,115,5,2012,287,148,139,0.8103102,0.773541169,0.849639892,,,
126,강원,정선군,2014,289,148,141,5,2013,256,120,136,1.156552156,1.260687929,1.064711781,,,
127,강원,정선군,2015,238,114,124,5,2014,271,141,130,0.899735821,0.826442921,0.979558073,,,
128,강원,정선군,2016,267,143,124,5,2015,261,135,126,1.048040581,1.082752996,1.010655154,,,
129,강원,정선군,2017,262,134,128,5,2016,229,112,117,1.172122909,1.222964642,1.123507467,,,
130,강원,정선군,2018,218,108,110,5,2017,266,140,126,0.839618893,0.788538396,0.896548927,,,
131,강원,정선군,2019,251,136,115,5,2018,191,94,97,1.346318146,1.478897859,1.217525207,,,
132,강원,정선군,2020,187,95,92,5,2019,218,106,112,0.878804877,0.916104181,0.843571036,,,
133,강원,철원군,2009,488,245,243,5,2008,447,225,222,1.118457907,1.113039794,1.124100534,,,
134,강원,철원군,2010,416,216,200,5,2009,447,245,202,0.953439527,0.901186738,1.016788162,,,
135,강원,철원군,2011,432,241,191,5,2010,421,204,217,1.051257231,1.207574686,0.903910619,,,
136,강원,철원군,2012,402,200,202,5,2011,470,236,234,0.876265151,0.866253731,0.88651761,,,
137,강원,철원군,2013,441,225,216,5,2012,442,223,219,1.022171259,1.031346931,1.012888153,,,
138,강원,철원군,2014,427,216,211,5,2013,442,239,203,0.989721378,0.923810673,1.067427218,,,
139,강원,철원군,2015,418,221,197,5,2014,393,202,191,1.08966017,1.11832499,1.059216443,,,
140,강원,철원군,2016,361,184,177,5,2015,398,214,184,0.929247658,0.878883224,0.987887064,,,
141,강원,철원군,2017,371,200,171,5,2016,371,203,168,1.024489107,1.007073303,1.045294545,,,
142,강원,철원군,2018,359,200,159,5,2017,385,187,198,0.95530283,1.093240002,0.824676823,,,
143,강원,철원군,2019,336,160,176,5,2018,317,156,161,1.085893817,1.048389131,1.122635178,,,
144,강원,철원군,2020,301,141,160,5,2019,375,192,183,0.822323257,0.750662999,0.897885066,,,
145,강원,춘천시,2009,2659,1413,1246,5,2008,2561,1306,1255,1.063692517,1.105926107,1.019591419,,,
146,강원,춘천시,2010,2590,1314,1276,5,2009,2448,1292,1156,1.083916172,1.039584934,1.133560477,,,
147,강원,춘천시,2011,2406,1264,1142,5,2010,2430,1275,1155,1.014370696,1.0133606,1.015397231,,,
148,강원,춘천시,2012,2418,1265,1153,5,2011,2299,1202,1097,1.077518339,1.075754529,1.079380418,,,
149,강원,춘천시,2013,2271,1199,1072,5,2012,2523,1285,1238,0.922162015,0.953768952,0.889254345,,,
150,강원,춘천시,2014,2517,1289,1228,5,2013,2412,1263,1149,1.069087514,1.043221892,1.097564858,,,
151,강원,춘천시,2015,2436,1277,1159,5,2014,2274,1195,1079,1.09747382,1.092320583,1.103097363,,,
152,강원,춘천시,2016,2297,1190,1107,5,2015,2504,1286,1218,0.939796917,0.94587363,0.933366454,,,
153,강원,춘천시,2017,2485,1289,1196,5,2016,2626,1357,1269,0.969480362,0.970957443,0.96787977,,,
154,강원,춘천시,2018,2570,1337,1233,5,2017,2586,1333,1253,1.018150428,1.025246707,1.010564088,,,
155,강원,춘천시,2019,2544,1308,1236,5,2018,2413,1227,1186,1.08010787,1.089658238,1.070250987,,,
156,강원,춘천시,2020,2377,1212,1165,5,2019,2323,1204,1119,1.048304179,1.028971292,1.069172289,,,
157,강원,태백시,2009,472,235,237,5,2008,461,234,227,1.048934618,1.02654769,1.072196398,,,
158,강원,태백시,2010,437,224,213,5,2009,436,219,217,1.026838853,1.045516832,1.008025979,,,
159,강원,태백시,2011,397,195,202,5,2010,420,224,196,0.968386132,0.889843676,1.058393474,,,
160,강원,태백시,2012,406,221,185,5,2011,423,209,214,0.983315786,1.080869129,0.887789103,,,
161,강원,태백시,2013,415,196,219,5,2012,472,258,214,0.900769025,0.776539391,1.050950344,,,
162,강원,태백시,2014,449,244,205,5,2013,421,218,203,1.09262615,1.144090707,1.037073837,,,
163,강원,태백시,2015,399,204,195,5,2014,402,193,209,1.016843666,1.080438332,0.95816473,,,
164,강원,태백시,2016,399,189,210,5,2015,431,214,217,0.948424951,0.902765921,0.99382843,,,
165,강원,태백시,2017,397,193,204,5,2016,392,193,199,1.037556571,1.022179402,1.05275896,,,
166,강원,태백시,2018,373,181,192,5,2017,392,194,198,0.974832748,0.953682844,0.995836164,,,
167,강원,태백시,2019,360,179,181,5,2018,308,161,147,1.197454801,1.136460329,1.264483292,,,
168,강원,태백시,2020,284,152,132,5,2019,302,156,146,0.963426843,0.995969674,0.928480807,,,
169,강원,평창군,2009,368,189,179,5,2008,342,175,167,1.102374244,1.103953754,1.100749292,,,
170,강원,평창군,2010,336,171,165,5,2009,323,179,144,1.065722415,0.976495407,1.176720467,,,
171,강원,평창군,2011,314,178,136,5,2010,293,165,128,1.097916654,1.102714749,1.091140797,,,
172,강원,평창군,2012,304,175,129,5,2011,298,160,138,1.045116405,1.118008721,0.95998065,,,
173,강원,평창군,2013,286,146,140,5,2012,334,179,155,0.87725714,0.83373292,0.927573201,,,
174,강원,평창군,2014,313,163,150,5,2013,317,165,152,1.0115618,1.009789349,1.013443464,,,
175,강원,평창군,2015,312,156,156,5,2014,275,132,143,1.16232946,1.208030203,1.120315684,,,
176,강원,평창군,2016,258,128,130,5,2015,285,157,128,0.927432245,0.833369194,1.043002232,,,
177,강원,평창군,2017,278,157,121,5,2016,251,130,121,1.134693115,1.234478201,1.026956044,,,
178,강원,평창군,2018,237,116,121,5,2017,266,143,123,0.912796686,0.829180494,1.010257572,,,
179,강원,평창군,2019,261,132,129,5,2018,231,126,105,1.157539641,1.070854612,1.261688854,,,
180,강원,평창군,2020,213,119,94,5,2019,187,85,102,1.166931443,1.431051163,0.946410472,,,
181,강원,홍천군,2009,641,321,320,5,2008,626,338,288,1.049037568,0.970768012,1.141062271,,,
182,강원,홍천군,2010,588,324,264,5,2009,562,269,293,1.071885401,1.231175191,0.92531193,,,
183,강원,홍천군,2011,530,259,271,5,2010,506,250,256,1.073081476,1.058977861,1.08712925,,,
184,강원,홍천군,2012,495,250,245,5,2011,468,252,216,1.083594248,1.014066867,1.164834402,,,
185,강원,홍천군,2013,456,240,216,5,2012,561,282,279,0.832739809,0.869939917,0.795062744,,,
186,강원,홍천군,2014,569,287,282,5,2013,518,248,270,1.125355796,1.182925357,1.072598535,,,
187,강원,홍천군,2015,494,241,253,5,2014,513,279,234,0.986545066,0.882957835,1.110341364,,,
188,강원,홍천군,2016,504,274,230,5,2015,526,270,256,0.981639753,1.037322801,0.922655821,,,
189,강원,홍천군,2017,495,240,255,5,2016,487,232,255,1.041318497,1.057426968,1.026956044,,,
