"","연도","시도","행정구역","학제","date.x","성별","학생수","인구수_2년전_4세","인구수_1년전_5세","4세대비5세변동치","5세대비1학년변동치","4세대비1학년변동치","4세대비5세변동률","5세대비1학년변동률","4세대비1학년변동률"
"68","2021","서울","강남구","초등학교",2021-04-01,"여자",1721,1842,1906,64,-185,-121,0.0347448425624321,-0.0970619097586569,-0.0656894679695983
"69","2021","서울","강남구","초등학교",2021-04-01,"남자",1883,1942,2039,97,-156,-59,0.0499485066941298,-0.0765080922020598,-0.0303810504634398
"70","2021","서울","송파구","초등학교",2021-04-01,"전체",4988,5682,5576,-106,-588,-694,-0.0186554030271031,-0.10545193687231,-0.122140091517071
"71","2021","서울","송파구","초등학교",2021-04-01,"여자",2426,2742,2698,-44,-272,-316,-0.0160466812545587,-0.100815418828762,-0.115244347191831
"72","2021","서울","송파구","초등학교",2021-04-01,"남자",2562,2940,2878,-62,-316,-378,-0.0210884353741497,-0.109798471160528,-0.128571428571429
"73","2021","서울","강동구","초등학교",2021-04-01,"전체",3752,3280,3831,551,-79,472,0.167987804878049,-0.020621247716001,0.14390243902439
"74","2021","서울","강동구","초등학교",2021-04-01,"여자",1827,1603,1858,255,-31,224,0.159076731129133,-0.0166846071044133,0.139737991266376
"75","2021","서울","강동구","초등학교",2021-04-01,"남자",1925,1677,1973,296,-48,248,0.176505664877758,-0.0243284338570705,0.147883124627311
"76","2021","부산","중구","초등학교",2021-04-01,"전체",217,189,175,-14,42,28,-0.0740740740740741,0.24,0.148148148148148
"77","2021","부산","중구","초등학교",2021-04-01,"여자",104,92,87,-5,17,12,-0.0543478260869565,0.195402298850575,0.130434782608696
"78","2021","부산","중구","초등학교",2021-04-01,"남자",113,97,88,-9,25,16,-0.0927835051546392,0.284090909090909,0.164948453608247
"79","2021","부산","서구","초등학교",2021-04-01,"전체",606,598,607,9,-1,8,0.0150501672240803,-0.00164744645799012,0.0133779264214047
"80","2021","부산","서구","초등학교",2021-04-01,"여자",298,284,286,2,12,14,0.00704225352112676,0.041958041958042,0.0492957746478873
"81","2021","부산","서구","초등학교",2021-04-01,"남자",308,314,321,7,-13,-6,0.0222929936305732,-0.0404984423676012,-0.0191082802547771
"82","2021","부산","동구","초등학교",2021-04-01,"전체",387,433,453,20,-66,-46,0.046189376443418,-0.145695364238411,-0.106235565819861
"83","2021","부산","동구","초등학교",2021-04-01,"여자",188,214,218,4,-30,-26,0.0186915887850467,-0.137614678899083,-0.121495327102804
"84","2021","부산","동구","초등학교",2021-04-01,"남자",199,219,235,16,-36,-20,0.0730593607305936,-0.153191489361702,-0.091324200913242
"85","2021","부산","영도구","초등학교",2021-04-01,"전체",533,583,570,-13,-37,-50,-0.0222984562607204,-0.0649122807017544,-0.0857632933104631
"86","2021","부산","영도구","초등학교",2021-04-01,"여자",258,280,271,-9,-13,-22,-0.0321428571428571,-0.0479704797047971,-0.0785714285714286
"87","2021","부산","영도구","초등학교",2021-04-01,"남자",275,303,299,-4,-24,-28,-0.0132013201320132,-0.0802675585284281,-0.0924092409240924
"88","2021","부산","부산진구","초등학교",2021-04-01,"전체",2573,2428,2389,-39,184,145,-0.0160626029654036,0.077019673503558,0.0597199341021417
"89","2021","부산","부산진구","초등학교",2021-04-01,"여자",1273,1174,1159,-15,114,99,-0.0127768313458262,0.0983606557377049,0.0843270868824531
"90","2021","부산","부산진구","초등학교",2021-04-01,"남자",1300,1254,1230,-24,70,46,-0.0191387559808612,0.0569105691056911,0.0366826156299841
"91","2021","부산","동래구","초등학교",2021-04-01,"전체",2086,2044,2269,225,-183,42,0.110078277886497,-0.0806522697223446,0.0205479452054795
"92","2021","부산","동래구","초등학교",2021-04-01,"여자",990,979,1094,115,-104,11,0.117466802860061,-0.0950639853747715,0.0112359550561798
"93","2021","부산","동래구","초등학교",2021-04-01,"남자",1096,1065,1175,110,-79,31,0.103286384976526,-0.0672340425531915,0.0291079812206573
"94","2021","부산","남구","초등학교",2021-04-01,"전체",1927,2117,2087,-30,-160,-190,-0.0141709966934341,-0.0766650694777192,-0.0897496457250827
"95","2021","부산","남구","초등학교",2021-04-01,"여자",930,1012,996,-16,-66,-82,-0.0158102766798419,-0.0662650602409639,-0.0810276679841897
"96","2021","부산","남구","초등학교",2021-04-01,"남자",997,1105,1091,-14,-94,-108,-0.0126696832579186,-0.0861594867094409,-0.097737556561086
"97","2021","부산","북구","초등학교",2021-04-01,"전체",2002,2217,2169,-48,-167,-215,-0.0216508795669824,-0.0769940064545874,-0.096977898060442
"98","2021","부산","북구","초등학교",2021-04-01,"여자",984,1091,1087,-4,-103,-107,-0.00366636113657195,-0.0947562097516099,-0.0980751604032997
"99","2021","부산","북구","초등학교",2021-04-01,"남자",1018,1126,1082,-44,-64,-108,-0.0390763765541741,-0.0591497227356747,-0.0959147424511545
"100","2021","부산","해운대구","초등학교",2021-04-01,"전체",3032,3167,3180,13,-148,-135,0.00410483107041364,-0.0465408805031447,-0.0426270918850647
"101","2021","부산","해운대구","초등학교",2021-04-01,"여자",1455,1549,1568,19,-113,-94,0.0122659780503551,-0.0720663265306122,-0.0606843124596514
"102","2021","부산","해운대구","초등학교",2021-04-01,"남자",1577,1618,1612,-6,-35,-41,-0.00370828182941904,-0.021712158808933,-0.0253399258343634
"103","2021","부산","사하구","초등학교",2021-04-01,"전체",2090,2389,2313,-76,-223,-299,-0.0318124738384261,-0.0964115866839602,-0.125156969443282
"104","2021","부산","사하구","초등학교",2021-04-01,"여자",980,1187,1148,-39,-168,-207,-0.0328559393428812,-0.146341463414634,-0.174389216512216
"105","2021","부산","사하구","초등학교",2021-04-01,"남자",1110,1202,1165,-37,-55,-92,-0.0307820299500832,-0.0472103004291846,-0.0765391014975042
"106","2021","부산","금정구","초등학교",2021-04-01,"전체",1528,1588,1574,-14,-46,-60,-0.00881612090680101,-0.0292249047013977,-0.0377833753148615
"107","2021","부산","금정구","초등학교",2021-04-01,"여자",727,771,766,-5,-39,-44,-0.00648508430609598,-0.0509138381201044,-0.0570687418936446
"108","2021","부산","금정구","초등학교",2021-04-01,"남자",801,817,808,-9,-7,-16,-0.011015911872705,-0.00866336633663366,-0.0195838433292534
"109","2021","부산","강서구","초등학교",2021-04-01,"전체",2197,2140,2188,48,9,57,0.0224299065420561,0.00411334552102377,0.0266355140186916
"110","2021","부산","강서구","초등학교",2021-04-01,"여자",1072,1036,1054,18,18,36,0.0173745173745174,0.0170777988614801,0.0347490347490347
"111","2021","부산","강서구","초등학교",2021-04-01,"남자",1125,1104,1134,30,-9,21,0.0271739130434783,-0.00793650793650794,0.0190217391304348
"112","2021","부산","연제구","초등학교",2021-04-01,"전체",1556,1665,1662,-3,-106,-109,-0.0018018018018018,-0.0637785800240674,-0.0654654654654655
"113","2021","부산","연제구","초등학교",2021-04-01,"여자",777,825,826,1,-49,-48,0.00121212121212121,-0.0593220338983051,-0.0581818181818182
"114","2021","부산","연제구","초등학교",2021-04-01,"남자",779,840,836,-4,-57,-61,-0.00476190476190476,-0.0681818181818182,-0.0726190476190476
"115","2021","부산","수영구","초등학교",2021-04-01,"전체",1017,1117,1153,36,-136,-100,0.0322291853178156,-0.117953165654814,-0.0895255147717099
"116","2021","부산","수영구","초등학교",2021-04-01,"여자",494,561,567,6,-73,-67,0.0106951871657754,-0.128747795414462,-0.119429590017825
"117","2021","부산","수영구","초등학교",2021-04-01,"남자",523,556,586,30,-63,-33,0.0539568345323741,-0.107508532423208,-0.0593525179856115
"118","2021","부산","사상구","초등학교",2021-04-01,"전체",1166,1519,1440,-79,-274,-353,-0.0520078999341672,-0.190277777777778,-0.232389730085583
"119","2021","부산","사상구","초등학교",2021-04-01,"여자",573,772,729,-43,-156,-199,-0.055699481865285,-0.213991769547325,-0.257772020725389
"120","2021","부산","사상구","초등학교",2021-04-01,"남자",593,747,711,-36,-118,-154,-0.0481927710843374,-0.165963431786217,-0.20615796519411
"121","2021","부산","기장군","초등학교",2021-04-01,"전체",2256,2185,2217,32,39,71,0.0146453089244851,0.0175913396481732,0.0324942791762014
"122","2021","부산","기장군","초등학교",2021-04-01,"여자",1091,1038,1064,26,27,53,0.0250481695568401,0.0253759398496241,0.0510597302504817
"123","2021","부산","기장군","초등학교",2021-04-01,"남자",1165,1147,1153,6,12,18,0.00523103748910201,0.01040763226366,0.015693112467306
"124","2021","대구","중구","초등학교",2021-04-01,"전체",762,608,580,-28,182,154,-0.0460526315789474,0.313793103448276,0.253289473684211
"125","2021","대구","중구","초등학교",2021-04-01,"여자",377,316,300,-16,77,61,-0.0506329113924051,0.256666666666667,0.193037974683544
"126","2021","대구","중구","초등학교",2021-04-01,"남자",385,292,280,-12,105,93,-0.0410958904109589,0.375,0.318493150684932
"127","2021","대구","동구","초등학교",2021-04-01,"전체",2792,3085,2947,-138,-155,-293,-0.0447325769854133,-0.0525958601968103,-0.0949756888168558
"128","2021","대구","동구","초등학교",2021-04-01,"여자",1381,1489,1421,-68,-40,-108,-0.0456682337139019,-0.0281491907107671,-0.0725319006044325
"129","2021","대구","동구","초등학교",2021-04-01,"남자",1411,1596,1526,-70,-115,-185,-0.043859649122807,-0.0753604193971166,-0.115914786967419
"130","2021","대구","서구","초등학교",2021-04-01,"전체",804,900,844,-56,-40,-96,-0.0622222222222222,-0.0473933649289099,-0.106666666666667
"131","2021","대구","서구","초등학교",2021-04-01,"여자",386,453,430,-23,-44,-67,-0.0507726269315673,-0.102325581395349,-0.147902869757174
"132","2021","대구","서구","초등학교",2021-04-01,"남자",418,447,414,-33,4,-29,-0.0738255033557047,0.00966183574879227,-0.0648769574944072
"133","2021","대구","남구","초등학교",2021-04-01,"전체",657,740,759,19,-102,-83,0.0256756756756757,-0.134387351778656,-0.112162162162162
"134","2021","대구","남구","초등학교",2021-04-01,"여자",322,361,367,6,-45,-39,0.0166204986149584,-0.122615803814714,-0.10803324099723
"135","2021","대구","남구","초등학교",2021-04-01,"남자",335,379,392,13,-57,-44,0.0343007915567282,-0.145408163265306,-0.116094986807388
"136","2021","대구","북구","초등학교",2021-04-01,"전체",3524,3795,3831,36,-307,-271,0.00948616600790514,-0.0801357347950927,-0.0714097496706192
"137","2021","대구","북구","초등학교",2021-04-01,"여자",1729,1819,1841,22,-112,-90,0.0120945574491479,-0.0608365019011407,-0.0494777350192413
