"","연도","시도","행정구역","학제","date.x","성별","학생수","인구수_2년전_4세","인구수_1년전_5세","4세대비5세변동치","5세대비1학년변동치","4세대비1학년변동치","4세대비5세변동률","5세대비1학년변동률","4세대비1학년변동률","전체인구","n_2","n_1","n_2_diff","n_1_diff","n_2_diff_rate","n_1_diff_rate"
"51","2021","서울","구로구","초등학교",2021-04-01,"남자",1413,1603,1597,-6,-184,-190,-0.00374298190892077,-0.115216030056356,-0.118527760449158,400399,405516,405271,-5117,-4872,-0.0126184910089861,-0.0120215855563314
"52","2021","서울","금천구","초등학교",2021-04-01,"전체",1314,1516,1409,-107,-95,-202,-0.0705804749340369,-0.0674237047551455,-0.133245382585752,229639,234173,232396,-4534,-2757,-0.0193617539169759,-0.0118633711423605
"53","2021","서울","금천구","초등학교",2021-04-01,"여자",646,772,711,-61,-65,-126,-0.0790155440414508,-0.0914205344585091,-0.163212435233161,229639,234173,232396,-4534,-2757,-0.0193617539169759,-0.0118633711423605
"54","2021","서울","금천구","초등학교",2021-04-01,"남자",668,744,698,-46,-30,-76,-0.0618279569892473,-0.0429799426934097,-0.102150537634409,229639,234173,232396,-4534,-2757,-0.0193617539169759,-0.0118633711423605
"55","2021","서울","영등포구","초등학교",2021-04-01,"전체",2400,2806,2691,-115,-291,-406,-0.040983606557377,-0.108138238573021,-0.144689950106914,377696,368874,372225,8822,5471,0.0239160255263315,0.0146980992679159
"56","2021","서울","영등포구","초등학교",2021-04-01,"여자",1124,1352,1305,-47,-181,-228,-0.0347633136094675,-0.138697318007663,-0.168639053254438,377696,368874,372225,8822,5471,0.0239160255263315,0.0146980992679159
"57","2021","서울","영등포구","초등학교",2021-04-01,"남자",1276,1454,1386,-68,-110,-178,-0.046767537826685,-0.0793650793650794,-0.12242090784044,377696,368874,372225,8822,5471,0.0239160255263315,0.0146980992679159
"58","2021","서울","동작구","초등학교",2021-04-01,"전체",2525,3003,2871,-132,-346,-478,-0.043956043956044,-0.120515499825845,-0.159174159174159,388672,399118,394988,-10446,-6316,-0.0261727108273744,-0.0159903592007858
"59","2021","서울","동작구","초등학교",2021-04-01,"여자",1216,1466,1394,-72,-178,-250,-0.0491132332878581,-0.127690100430416,-0.170532060027285,388672,399118,394988,-10446,-6316,-0.0261727108273744,-0.0159903592007858
"60","2021","서울","동작구","초등학교",2021-04-01,"남자",1309,1537,1477,-60,-168,-228,-0.0390370852309694,-0.113744075829384,-0.148340923877684,388672,399118,394988,-10446,-6316,-0.0261727108273744,-0.0159903592007858
"61","2021","서울","관악구","초등학교",2021-04-01,"전체",2174,2801,2608,-193,-434,-627,-0.0689039628704034,-0.166411042944785,-0.223848625490896,489464,502251,498978,-12787,-9514,-0.0254593818628534,-0.0190669728925925
"62","2021","서울","관악구","초등학교",2021-04-01,"여자",1054,1346,1252,-94,-198,-292,-0.0698365527488856,-0.15814696485623,-0.216939078751857,489464,502251,498978,-12787,-9514,-0.0254593818628534,-0.0190669728925925
"63","2021","서울","관악구","초등학교",2021-04-01,"남자",1120,1455,1356,-99,-236,-335,-0.0680412371134021,-0.174041297935103,-0.230240549828179,489464,502251,498978,-12787,-9514,-0.0254593818628534,-0.0190669728925925
"64","2021","서울","서초구","초등학교",2021-04-01,"전체",3413,3623,3723,100,-310,-210,0.0276014352746343,-0.083266183185603,-0.057963014076732,420318,432336,429729,-12018,-9411,-0.027797823914733,-0.0218998485091767
"65","2021","서울","서초구","초등학교",2021-04-01,"여자",1658,1727,1782,55,-124,-69,0.0318471337579618,-0.0695847362514029,-0.0399536768963521,420318,432336,429729,-12018,-9411,-0.027797823914733,-0.0218998485091767
"66","2021","서울","서초구","초등학교",2021-04-01,"남자",1755,1896,1941,45,-186,-141,0.0237341772151899,-0.0958268933539413,-0.0743670886075949,420318,432336,429729,-12018,-9411,-0.027797823914733,-0.0218998485091767
"67","2021","서울","강남구","초등학교",2021-04-01,"전체",3618,3784,3945,161,-327,-166,0.0425475687103594,-0.0828897338403042,-0.0438689217758985,533579,542108,543240,-8529,-9661,-0.0157330273672405,-0.0177840365216111
"68","2021","서울","강남구","초등학교",2021-04-01,"여자",1728,1842,1906,64,-178,-114,0.0347448425624321,-0.093389296956978,-0.0618892508143322,533579,542108,543240,-8529,-9661,-0.0157330273672405,-0.0177840365216111
"69","2021","서울","강남구","초등학교",2021-04-01,"남자",1890,1942,2039,97,-149,-52,0.0499485066941298,-0.0730750367827366,-0.0267765190525232,533579,542108,543240,-8529,-9661,-0.0157330273672405,-0.0177840365216111
"70","2021","서울","송파구","초등학교",2021-04-01,"전체",5022,5682,5576,-106,-554,-660,-0.0186554030271031,-0.0993543758967001,-0.116156282998944,660160,679824,672862,-19664,-12702,-0.0289251335639813,-0.0188775707351582
"71","2021","서울","송파구","초등학교",2021-04-01,"여자",2412,2742,2698,-44,-286,-330,-0.0160466812545587,-0.106004447739066,-0.12035010940919,660160,679824,672862,-19664,-12702,-0.0289251335639813,-0.0188775707351582
