"","시도","시군구","입학_전체_2021","입학_전체_2020","입학_전체_2019","입학_전체_2018","입학_전체_2017","입학_남_2021","입학_남_2020","입학_남_2019","입학_남_2018","입학_남_2017","입학_여_2021","입학_여_2020","입학_여_2019","입학_여_2018","입학_여_2017"
"158","전북","진안군",107,116,877,904,908,51,50,448,471,468,56,66,429,433,440
"159","전북","무주군",142,124,1018,1037,1076,88,66,510,520,527,54,58,508,517,549
"160","전북","장수군",127,136,989,979,985,62,75,500,492,500,65,61,489,487,485
"161","전북","임실군",119,140,1004,1001,1025,58,65,522,516,523,61,75,482,485,502
"162","전북","순창군",129,131,1102,1134,1159,72,73,570,585,605,57,58,532,549,554
"163","전북","고창군",312,273,2123,2130,2108,173,144,1117,1114,1109,139,129,1006,1016,999
"164","전북","부안군",271,283,1920,1956,2000,139,149,981,998,1019,132,134,939,958,981
"165","전남","목포시",2172,2399,15912,15777,15569,1111,1219,8112,8085,7983,1061,1180,7800,7692,7586
"166","전남","여수시",2202,2306,14847,14882,14692,1123,1204,7500,7572,7497,1079,1102,7347,7310,7195
"167","전남","순천시",2529,2631,16890,16738,16662,1251,1334,8754,8657,8637,1278,1297,8136,8081,8025
"168","전남","나주시",1059,994,6027,5491,5071,551,525,3041,2790,2640,508,469,2986,2701,2431
"169","전남","광양시",1358,1445,9439,9249,9076,670,732,4850,4741,4659,688,713,4589,4508,4417
"170","전남","담양군",234,200,1466,1440,1455,115,99,777,755,756,119,101,689,685,699
"171","전남","곡성군",103,113,920,967,982,55,65,485,511,526,48,48,435,456,456
"172","전남","구례군",110,138,956,996,1042,58,70,483,522,552,52,68,473,474,490
"173","전남","고흥군",249,260,1927,1980,2060,120,146,993,1031,1077,129,114,934,949,983
"174","전남","보성군",160,172,1326,1399,1396,87,88,648,678,678,73,84,678,721,718
"175","전남","화순군",357,379,2877,2925,2960,191,199,1482,1522,1543,166,180,1395,1403,1417
"176","전남","장흥군",213,222,1454,1438,1500,107,100,745,764,793,106,122,709,674,707
"177","전남","강진군",178,181,1341,1346,1359,80,94,697,686,695,98,87,644,660,664
"178","전남","해남군",374,378,2793,2838,2899,179,175,1406,1451,1485,195,203,1387,1387,1414
"179","전남","영암군",323,412,2499,2532,2562,160,205,1270,1313,1344,163,207,1229,1219,1218
"180","전남","무안군",864,702,4745,4602,4490,460,361,2416,2301,2263,404,341,2329,2301,2227
"181","전남","함평군",121,151,1002,998,1000,60,78,536,521,525,61,73,466,477,475
"182","전남","영광군",294,310,2296,2306,2305,150,151,1161,1170,1198,144,159,1135,1136,1107
"183","전남","장성군",309,272,1907,1946,1928,168,139,1007,1031,1010,141,133,900,915,918
"184","전남","완도군",350,315,2127,2110,2101,186,161,1088,1095,1079,164,154,1039,1015,1022
"185","전남","진도군",167,170,1196,1200,1187,90,92,603,606,618,77,78,593,594,569
"186","전남","신안군",128,145,1005,974,937,62,78,497,487,475,66,67,508,487,462
"187","경북","포항시",4412,4483,27728,27068,26717,2275,2300,14444,14119,13929,2137,2183,13284,12949,12788
"188","경북","경주시",1776,1767,11792,11785,11757,927,938,6044,6061,6068,849,829,5748,5724,5689
"189","경북","김천시",1078,1117,6779,6586,6449,549,600,3523,3473,3365,529,517,3256,3113,3084
"190","경북","안동시",1177,1319,8479,8655,8235,606,688,4425,4496,4284,571,631,4054,4159,3951
"191","경북","구미시",4702,4547,28266,27681,26881,2430,2364,14671,14388,13928,2272,2183,13595,13293,12953
"192","경북","영주시",640,667,4915,4927,4982,359,334,2483,2485,2566,281,333,2432,2442,2416
"193","경북","영천시",510,541,3573,3553,3573,275,271,1882,1876,1892,235,270,1691,1677,1681
"194","경북","상주시",525,563,3935,3973,4033,279,288,2056,2073,2105,246,275,1879,1900,1928
"195","경북","문경시",387,415,2908,2907,2918,197,223,1556,1589,1578,190,192,1352,1318,1340
"196","경북","경산시",2209,2227,13424,12992,12565,1098,1118,6898,6745,6524,1111,1109,6526,6247,6041
"197","경북","군위군",62,64,499,496,506,32,43,281,272,267,30,21,218,224,239
"198","경북","의성군",170,162,1146,1209,1250,92,84,582,620,656,78,78,564,589,594
"199","경북","청송군",97,104,636,623,657,42,45,323,324,334,55,59,313,299,323
"200","경북","영양군",73,77,510,523,553,27,46,284,278,286,46,31,226,245,267
"201","경북","영덕군",169,169,1139,1170,1205,86,89,597,605,623,83,80,542,565,582
"202","경북","청도군",147,145,1123,1119,1153,74,74,560,560,572,73,71,563,559,581
"203","경북","고령군",158,151,1127,1189,1233,87,74,587,623,658,71,77,540,566,575
"204","경북","성주군",148,161,1214,1215,1225,71,79,628,651,666,77,82,586,564,559
"205","경북","칠곡군",1016,1126,7082,6969,7001,538,603,3652,3618,3701,478,523,3430,3351,3300
"206","경북","예천군",358,394,1870,1326,1377,196,203,1013,734,758,162,191,857,592,619
"207","경북","봉화군",127,132,956,995,994,71,67,496,499,506,56,65,460,496,488
"208","경북","울진군",301,295,1973,2039,2094,143,144,1054,1085,1126,158,151,919,954,968
"209","경북","울릉군",42,50,300,290,284,19,22,153,153,146,23,28,147,137,138
"210","경남","창원시",9200,9362,59495,58415,57188,4781,4854,30739,30253,29712,4419,4508,28756,28162,27476
"211","경남","진주시",3308,3120,20467,20019,19689,1713,1671,10688,10491,10277,1595,1449,9779,9528,9412
"212","경남","통영시",1169,1102,8476,8333,8135,594,566,4361,4277,4213,575,536,4115,4056,3922
"213","경남","사천시",917,903,6461,6469,6417,447,475,3327,3302,3273,470,428,3134,3167,3144
"214","경남","김해시",5514,5593,35967,35453,35186,2847,2821,18329,18177,18258,2667,2772,17638,17276,16928
"215","경남","밀양시",607,604,4233,4219,4248,309,296,2190,2171,2168,298,308,2043,2048,2080
"216","경남","거제시",3106,3027,18759,18201,17487,1604,1570,9703,9367,9009,1502,1457,9056,8834,8478
"217","경남","양산시",3839,3692,22021,21028,19371,1998,1863,11297,10724,9876,1841,1829,10724,10304,9495
"218","경남","의령군",103,96,779,765,802,64,52,412,390,428,39,44,367,375,374
"219","경남","함안군",473,501,3684,3713,3704,236,243,1874,1902,1923,237,258,1810,1811,1781
"220","경남","창녕군",323,354,2320,2280,2215,172,192,1228,1215,1200,151,162,1092,1065,1015
"221","경남","고성군",304,310,2256,2240,2222,137,143,1200,1206,1169,167,167,1056,1034,1053
"222","경남","남해군",187,149,1348,1368,1422,110,71,737,755,771,77,78,611,613,651
"223","경남","하동군",183,167,1519,1598,1645,112,95,819,868,877,71,72,700,730,768
"224","경남","산청군",112,137,1059,1097,1125,62,76,588,602,597,50,61,471,495,528
"225","경남","함양군",210,215,1471,1534,1591,110,104,782,793,828,100,111,689,741,763
"226","경남","거창군",459,397,3035,3015,2916,227,206,1581,1559,1513,232,191,1454,1456,1403
"227","경남","합천군",156,182,1256,1269,1256,78,95,663,660,650,78,87,593,609,606
"228","제주","제주시",5119,4989,31399,30597,29884,2621,2568,16203,15823,15526,2498,2421,15196,14774,14358
"229","제주","서귀포시",1495,1435,9669,9499,9017,749,703,4970,4916,4676,746,732,4699,4583,4341
