"","prov","distinct","estimate","std.error","statistic.x","p.value.x","r.squared","adj.r.squared","statistic.y","p.value.y"
"36","대전","서구",-0.00163838765439778,0.000557171230849253,-2.9405460362706,0.0147717063649393,0.463715269887283,0.410086796876011,8.6468109914265,0.0147717063649404
"37","대구","달서구",-0.00201300276155671,0.000875866113936619,-2.29829962539501,0.044382550795326,0.345643145437905,0.280207459981696,5.28218116809084,0.0443825507953258
"38","경북","문경시",-0.00226005649565082,0.000923580911697054,-2.4470584731965,0.034430649536391,0.374534621360852,0.311988083496937,5.98809517124262,0.0344306495363927
"39","부산","해운대구",-0.00251086084371392,0.00096751710012374,-2.59515913816179,0.0267124561556363,0.40244463315192,0.342689096467112,6.7348509523844,0.0267124561556383
"40","부산","사상구",-0.00253155010547683,0.000986157625415021,-2.56708465283269,0.0280304865491624,0.397224469974436,0.336946916971879,6.5899236148088,0.0280304865491653
"41","서울","강서구",-0.0025990755575814,0.00072757679014256,-3.57223538847651,0.0050768311043524,0.560649399513819,0.516714339465201,12.7608656706833,0.00507683110435319
"42","서울","강북구",-0.00284752639402178,0.00103868319956201,-2.74147728125623,0.0207799946245751,0.429083546621273,0.371991901283401,7.51569768364398,0.0207799946245754
"43","충남","서천군",-0.0032327261170245,0.00128378646802555,-2.51811823659147,0.0304855014454854,0.388039331049632,0.326843264154595,6.34091945345434,0.0304855014454876
"44","강원","속초시",-0.00328216794116368,0.00122162843655615,-2.68671540621331,0.0228280480924364,0.419227282533071,0.361150010786378,7.21843967398387,0.0228280480924371
"45","서울","은평구",-0.00336063489005359,0.000852268928190475,-3.94316251466406,0.00276069165386252,0.608588057376345,0.56944686311398,15.5485306170514,0.00276069165386275
"46","경기","구리시",-0.00366026780905337,0.00105297259893343,-3.4761282608502,0.00595967507108763,0.547172566272583,0.501889822899841,12.0834676858813,0.00595967507108774
"47","충북","영동군",-0.00385332047103591,0.00121017141978559,-3.18411128211788,0.00975114114982526,0.503440281352488,0.453784309487737,10.1385646569101,0.00975114114982598
"48","충남","부여군",-0.0046339820746149,0.001403061261312,-3.30276531922894,0.00797616094109916,0.521720095503692,0.473892105054061,10.9082587539013,0.0079761609410995
"49","서울","성동구",-0.00512546835863396,0.00225917829917277,-2.26873122874397,0.0466710966221844,0.339809423860087,0.273790366246096,5.14714138827805,0.046671096622186
"50","부산","수영구",-0.00513362540123234,0.00123495160653875,-4.15694459123024,0.00195823684742333,0.633433615730131,0.596776977303145,17.2801883345581,0.00195823684742344
"51","서울","용산구",-0.00525804939257113,0.00111014107072831,-4.73637948474564,0.000796456351638007,0.691674825225766,0.660842307748343,22.4332906235189,0.000796456351638066
"52","충북","증평군",-0.00552925282415279,0.00202510863407566,-2.73034874826681,0.0211807264908679,0.4270918289611,0.36980101185721,7.45480428716211,0.0211807264908681
"53","부산","기장군",-0.00555537576505478,0.00224375822658994,-2.47592441075874,0.0327707425716995,0.380044949619629,0.318049444581592,6.13020168779097,0.0327707425717
"54","충남","계룡시",-0.0100243802494416,0.00259590030083485,-3.86161989588651,0.00315191670499514,0.598588770104621,0.558447647115083,14.9121082203065,0.00315191670499521
"55","대구","중구",-0.0157024022496592,0.0031917782864965,-4.91964066429413,0.000605181618822041,0.707626825569516,0.678389508126467,24.2028642657763,0.000605181618822045
"56","전북","완주군",-0.0176122270259046,0.00241923405420061,-7.28008395687211,2.66272064051294e-05,0.841268889939137,0.825395778933051,52.9996224191065,2.66272064051297e-05
"57","광주","동구",-0.0199016882165359,0.00372279382589782,-5.34590126320957,0.000325497983906946,0.740789340062792,0.714868274069071,28.5786603159855,0.000325497983906951
"58","경북","예천군",-0.0264382023085622,0.00831115981211914,-3.1810484825488,0.00980198279135634,0.502959119173774,0.453255031091151,10.119069448326,0.00980198279135636
